Timestamp,Input (Hindcast) - meteofrance_wave,Output (Forecast) - meteofrance_wave,Input (Hindcast) - ewam,Output (Forecast) - ewam
2026-02-19 00:00:00,5.78,1.3477491800132835,6.02,1.360077663435191
2026-02-19 01:00:00,5.7,1.5414078324397882,5.92,1.568468083730147
2026-02-19 02:00:00,5.62,1.8917366055604328,5.86,1.8356129338545801
2026-02-19 03:00:00,5.54,2.1823011414515547,5.78,2.105216862217564
2026-02-19 04:00:00,5.5,2.374024038589947,5.68,2.3174506023020967
2026-02-19 05:00:00,5.48,2.371451769089988,5.6,2.305302146453379
2026-02-19 06:00:00,5.44,2.222014638781078,5.52,2.143048981753382
2026-02-19 07:00:00,5.42,1.945039527561203,5.48,1.840254769320145
2026-02-19 08:00:00,5.42,1.6283982637361616,5.44,1.5341095544892114
2026-02-19 09:00:00,5.4,1.3691591237850886,5.4,1.317137291137155
2026-02-19 10:00:00,5.44,1.338880581467004,5.38,1.2098573989757233
2026-02-19 11:00:00,5.48,1.362239135159571,5.34,1.2273020514647979
2026-02-19 12:00:00,5.52,1.5096611769881438,5.32,1.3849334574436187
2026-02-19 13:00:00,5.54,1.7949201702082782,5.34,1.6348524562277182
2026-02-19 14:00:00,5.58,2.244530663383171,5.38,2.022836761845388
2026-02-19 15:00:00,5.6,2.5820616534706424,5.38,2.4020508111870247
2026-02-19 16:00:00,5.56,2.7946007372908444,5.34,2.6890623153375968
2026-02-19 17:00:00,5.52,2.84954969171115,5.28,2.7952269263417655
2026-02-19 18:00:00,5.48,2.7723534256679025,5.2,2.6886444752145655
2026-02-19 19:00:00,5.38,2.591699563046967,5.08,2.3551895621302537
2026-02-19 20:00:00,5.26,2.354070761927546,4.94,2.0571874147078644
2026-02-19 21:00:00,5.16,2.0929868496849178,4.8,1.785344251736084
2026-02-19 22:00:00,5.02,1.796870865563944,4.66,1.6189394757857773
2026-02-19 23:00:00,4.86,1.6964855560760543,4.5,1.4742616446986956
2026-02-20 00:00:00,4.72,1.7528511842948094,4.36,1.4976386590034647
2026-02-20 01:00:00,4.56,1.8150277358520246,4.22,1.6012738766687282
2026-02-20 02:00:00,4.38,2.005362306072583,4.1,1.8049847488895427
2026-02-20 03:00:00,4.22,2.2023506441977143,3.96,2.0001697742318356
2026-02-20 04:00:00,4.06,2.3023147242426925,3.84,2.1300619401353433
2026-02-20 05:00:00,3.92,2.263602684356897,3.7,2.1072730753365025
2026-02-20 06:00:00,3.76,2.067848011934441,3.58,1.9956094295644102
2026-02-20 07:00:00,3.62,1.8219449412892308,3.46,1.7404120499934028
2026-02-20 08:00:00,3.5,1.5238506169715598,3.34,1.429674103125678
2026-02-20 09:00:00,3.36,1.2237169914379131,3.24,1.183410154373988
2026-02-20 10:00:00,3.24,1.137277790047743,3.14,1.0464734697416167
2026-02-20 11:00:00,3.1,1.0254161815549456,3.02,0.9659761104391656
2026-02-20 12:00:00,2.98,0.9870837363927906,2.92,0.9231763477110406
2026-02-20 13:00:00,2.88,0.9828529608114946,2.82,0.9384991807504237
2026-02-20 14:00:00,2.8,1.0493189288536637,2.72,1.0116736650798934
2026-02-20 15:00:00,2.7,1.1203256648256303,2.62,1.0827738334183894
2026-02-20 16:00:00,2.64,1.185539533271423,2.56,1.1459123277428094
2026-02-20 17:00:00,2.58,1.199923236317533,2.5,1.1602262594279023
2026-02-20 18:00:00,2.52,1.1513040981158147,2.46,1.1184585809683638
2026-02-20 19:00:00,2.46,1.0303091353482594,2.42,1.0058449937753264
2026-02-20 20:00:00,2.42,0.8938940732582805,2.4,0.8745786934264705
2026-02-20 21:00:00,2.36,0.7647950456089017,2.4,0.7496280504479479
2026-02-20 22:00:00,2.36,0.6772783808332613,2.42,0.6737742230024997
2026-02-20 23:00:00,2.34,0.6438688043522666,2.44,0.6186198685985644
2026-02-21 00:00:00,2.34,0.634358517794969,2.46,0.6209302962850956
2026-02-21 01:00:00,2.36,0.6674651553812847,2.5,0.6563948428071296
2026-02-21 02:00:00,2.38,0.7212189945565601,2.52,0.7284916827240692
2026-02-21 03:00:00,2.4,0.8141248006588518,2.56,0.8385600709603795
2026-02-21 04:00:00,2.46,0.9482567064635711,2.6,0.9507068601288446
2026-02-21 05:00:00,2.5,1.0327502496726293,2.64,1.0340928183716935
2026-02-21 06:00:00,2.56,1.0405564918418728,2.68,1.0617537826773047
2026-02-21 07:00:00,2.62,1.0242470922151714,2.72,1.0096535684619106
2026-02-21 08:00:00,2.66,0.951418066335336,2.76,0.9223880507755587
2026-02-21 09:00:00,2.72,0.8350777358264948,2.8,0.8059553821926223
